time,V_n,W_n
8.657,7.66286993,150.4506226
8.658,7.66286993,150.4506226
8.658,7.663870335,150.4703217
8.659,7.663870335,150.4703217
8.659,7.664870739,150.4900208
8.66,7.664870739,150.4900208
8.66,7.665871143,150.5097046
8.661,7.665871143,150.5097046
8.661,7.666871548,150.5294037
8.662,7.666871548,150.5294037
8.662,7.667871952,150.5490875
8.663,7.667871952,150.5490875
8.663,7.668872356,150.5687866
8.664,7.668872356,150.5687866
8.664,7.669872761,150.5884705
8.665,7.669872761,150.5884705
8.665,7.670873165,150.6081696
8.666,7.670873165,150.6081696
8.666,7.671873569,150.6278381
8.667,7.671873569,150.6278381
8.667,7.672873974,150.6475067
8.668,7.672873974,150.6475067
8.668,7.673874378,150.6671906
8.669,7.673874378,150.6671906
8.669,7.674874783,150.6868744
8.67,7.674874783,150.6868744
8.67,7.675875187,150.7065735
8.671,7.675875187,150.7065735
8.671,7.676875591,150.7262573
8.672,7.676875591,150.7262573
8.672,7.677875996,150.7459412
8.673,7.677875996,150.7459412
8.673,7.6788764,150.765625
8.674,7.6788764,150.765625
8.674,7.679876804,150.7853241
8.675,7.679876804,150.7853241
8.675,7.680877209,150.8050079
8.676,7.680877209,150.8050079
8.676,7.681877613,150.824707
8.677,7.681877613,150.824707
8.677,7.682878017,150.8444061
8.678,7.682878017,150.8444061
8.678,7.683878422,150.86409
8.679,7.683878422,150.86409
8.679,7.684878826,150.8837891
8.68,7.684878826,150.8837891
8.68,7.68587923,150.9034576
8.681,7.68587923,150.9034576
8.681,7.686879635,150.9231415
8.682,7.686879635,150.9231415
8.682,7.687880039,150.9428101
8.683,7.687880039,150.9428101
8.683,7.688880444,150.9624939
8.684,7.688880444,150.9624939
8.684,7.689880848,150.982193
8.685,7.689880848,150.982193
8.685,7.690881252,151.0018768
8.686,7.690881252,151.0018768
8.686,7.691881657,151.0215759
8.687,7.691881657,151.0215759
8.687,7.692882061,151.0412598
8.688,7.692882061,151.0412598
8.688,7.693882465,151.0609436
8.689,7.693882465,151.0609436
8.689,7.69488287,151.0806122
8.69,7.69488287,151.0806122
8.69,7.695883274,151.1002808
8.691,7.695883274,151.1002808
8.691,7.696883678,151.1199646
8.692,7.696883678,151.1199646
8.692,7.697884083,151.1396332
8.693,7.697884083,151.1396332
8.693,7.698884487,151.159317
8.694,7.698884487,151.159317
8.694,7.699884892,151.1790009
8.695,7.699884892,151.1790009
8.695,7.700885296,151.1986847
8.696,7.700885296,151.1986847
8.696,7.7018857,151.2183533
8.697,7.7018857,151.2183533
8.697,7.702886105,151.2380524
8.698,7.702886105,151.2380524
8.698,7.703886509,151.2577362
8.699,7.703886509,151.2577362
8.699,7.704886913,151.2774353
